nombre;descripcion;link
"Monitor BenQ 27&quot; GW2780 FHD 1920x1080 60Hz";"Diseño minimalista, tecnología Eye-Care y calidad de imagen excepcional. El BenQ GW2780 es un monitor de 27 pulgadas con resolución Full HD (1920x1080), ideal para productividad y entretenimiento. Su panel IPS ofrece colores precisos y amplios ángulos de visión, mientras que su tecnología Eye-Care reduce la fatiga ocular con Low Blue Light y Flicker-Free.  	  Tamaño del panel:  27&quot; IPS  	  Resolución:  1920 x 1080 (Full HD)  	  Frecuencia de actualización:  60Hz  	  Tiempo de respuesta:  5ms (GTG)  	  Saturación de color:  72% NTSC  	  Brillo:  250 cd/m²  	  Relación de contraste:  1000:1  	  Ángulos de visión:  178° horizontal / 178° vertical  	  HDR:  No compatible  	  Antirreflejo:  Sí  	  Tecnología sin parpadeo:  Sí   Conectividad   	 1 x HDMI  	 1 x DisplayPort 1.2  	 1 x VGA  	 1 x Conector para auriculares   Funciones exclusivas   	 Brightness Intelligence (B.I.) para ajuste automático de brillo  	 Tecnología Eye-Care para menor fatiga ocular  	 Modo Low Blue Light  	 Modo Flicker-Free   Diseño y ergonomía   	 Inclinación: -5° a +20°  	 Montaje VESA: 100x100 mm  	 Gestión de cables integrada  	 Dimensiones con soporte: 613 x 463 x 183 mm  	 Peso con soporte: 4,85 kg   Consumo y energía   	 Consumo típico: 32W  	 Modo ahorro de energía: 0,5W  	 Modo apagado: 0,3W  	 Voltaje: 100-240V ~ 50/60Hz   Garantía: 1 año";https://shigalabs.net/producto/benq-27-gw2780/?utm_source=Custom%20Feed&utm_campaign=Export&utm_medium=cpc&utm_term=3044
"Monitor LG 27&quot; 27GR75Q-B QHD 2560x1440 165 Hz";"Velocidad extrema, colores vibrantes y tecnología avanzada para gamers exigentes. El  LG 27GR75Q-B  es un monitor gaming de 27 pulgadas con resolución QHD (2560x1440) y una tasa de refresco de 165Hz, diseñado para ofrecer una experiencia fluida y sin interrupciones. Su panel IPS con cobertura del 99% sRGB garantiza colores precisos, mientras que su compatibilidad con G-SYNC® y FreeSync™ Premium elimina el tearing y mejora la estabilidad en juegos de ritmo rápido.  	  Tamaño del panel:  27&quot; IPS  	  Resolución:  2560 x 1440 (QHD)  	  Frecuencia de actualización:  165Hz  	  Tiempo de respuesta:  1ms (GtG)  	  Saturación de color:  99% sRGB  	  Brillo:  300 cd/m²  	  Relación de contraste:  1000:1  	  Ángulos de visión:  178° horizontal / 178° vertical  	  HDR:  Compatible con HDR10  	  Antirreflejo:  Sí  	  Tecnología sin parpadeo:  Sí   Conectividad   	 2 x HDMI 2.0  	 1 x DisplayPort 1.4  	 1 x Conector para auriculares   Funciones exclusivas   	 Compatible con NVIDIA® G-SYNC®  	 AMD FreeSync™ Premium  	 Estabilizador de negros  	 Cruz de puntería (Crosshair)  	 Temporizador   Diseño y ergonomía   	 Inclinación: -5° a +15°  	 Montaje VESA: 100x100 mm  	 Dimensiones con soporte: 614 x 474 x 224 mm  	 Peso con soporte: 6,1 kg   Incluye en la caja   	 Cable de alimentación  	 Cable DisplayPort  	 Guía de inicio rápido  	 Tarjeta de garantía   Garantía: 1 año";https://shigalabs.net/producto/monitor-27-lg-27gr75q/?utm_source=Custom%20Feed&utm_campaign=Export&utm_medium=cpc&utm_term=3043
"Monitor Asus 32&quot; VG328H1B FHD 165hz Curvo";"Curvatura envolvente, velocidad extrema y tecnología avanzada para gamers exigentes. El Asus TUF Gaming VG328H1B es un monitor curvo de 32 pulgadas con resolución Full HD (1920x1080) y una tasa de refresco de 165Hz, diseñado para ofrecer una experiencia fluida y sin interrupciones. Su panel VA con curvatura 1500R proporciona una inmersión total, mientras que su compatibilidad con Adaptive-Sync y FreeSync™ Premium elimina el tearing y mejora la estabilidad en juegos de ritmo rápido.  	  Tamaño del panel:  32&quot; VA Curvo (1500R)  	  Resolución:  1920 x 1080 (Full HD)  	  Frecuencia de actualización:  165Hz  	  Tiempo de respuesta:  1ms (MPRT)  	  Saturación de color:  99% sRGB  	  Brillo:  250 cd/m²  	  Relación de contraste:  3000:1  	  Ángulos de visión:  178° horizontal / 178° vertical  	  HDR:  No compatible  	  Antirreflejo:  Sí  	  Tecnología sin parpadeo:  Sí   Conectividad   	 2 x HDMI 2.0  	 1 x D-Sub  	 1 x Conector para auriculares   Funciones exclusivas   	 Adaptive-Sync y FreeSync™ Premium  	 Extreme Low Motion Blur (ELMB™) para mayor nitidez  	 Shadow Boost para mejorar detalles en áreas oscuras   Diseño y ergonomía   	 Inclinación: -5° a +15°  	 Montaje VESA: 100x100 mm  	 Dimensiones con soporte: 709 x 507 x 249 mm  	 Peso con soporte: 7.4 kg   Consumo y energía   	 Consumo típico: 40W  	 Modo ahorro de energía: 0,5W  	 Modo apagado: 0,3W  	 Voltaje: 100-240V ~ 50/60Hz   Incluye en la caja   	 Cable de alimentación  	 Cable HDMI  	 Guía de inicio rápido  	 Tarjeta de garantía     Garantía: 1 año";https://shigalabs.net/producto/asus-vg328h1b/?utm_source=Custom%20Feed&utm_campaign=Export&utm_medium=cpc&utm_term=3042
"Monitor LG 32&apos;&apos; 32SR50F-W FHD 60Hz con WebOS";"Smart Monitor con webOS, conectividad avanzada y entretenimiento sin límites. El LG 32SR50F-W es un monitor inteligente de 32 pulgadas Full HD (1920x1080) con sistema webOS, diseñado para ofrecer acceso a plataformas de streaming, productividad y conectividad sin necesidad de un PC. Su panel IPS garantiza colores vibrantes y ángulos de visión amplios, mientras que sus altavoces integrados proporcionan una experiencia multimedia completa.  	  Tamaño del panel:  32&quot; IPS  	  Resolución:  1920 x 1080 (Full HD)  	  Frecuencia de actualización:  75Hz  	  Tiempo de respuesta:  5ms (GtG)  	  Saturación de color:  99% sRGB  	  Brillo:  250 cd/m²  	  Relación de contraste:  1000:1  	  Ángulos de visión:  178° horizontal / 178° vertical  	  HDR:  Compatible con HDR10  	  Antirreflejo:  Sí  	  Tecnología sin parpadeo:  Sí   Conectividad   	 2 x HDMI  	 1 x USB-C  	 1 x Conector para auriculares  	 Bluetooth y Wi-Fi integrados   Funciones exclusivas   	 Sistema operativo webOS para acceso a apps y streaming  	 Altavoces integrados de 5W x 2  	 Compatible con AirPlay 2 y Screen Share  	 Control por voz con ThinQ AI   Diseño y ergonomía   	 Inclinación: -5° a +20°  	 Montaje VESA: 100x100 mm  	 Dimensiones con soporte: 729 x 495 x 209 mm  	 Peso con soporte: 6.1 kg   Consumo y energía   	 Consumo típico: 40W  	 Modo ahorro de energía: 0,5W  	 Modo apagado: 0,3W  	 Voltaje: 100-240V ~ 50/60Hz   Incluye en la caja   	 Cable de alimentación  	 Cable HDMI  	 Guía de inicio rápido  	 Tarjeta de garantía   Garantía: 1 año";https://shigalabs.net/producto/32-lg-32sr50f-w/?utm_source=Custom%20Feed&utm_campaign=Export&utm_medium=cpc&utm_term=3041
"Monitor LG 27&apos;&apos; 27UP650-W QHD 60Hz IPS";"Resolución 4K, colores vibrantes y tecnología avanzada para máxima precisión. El  LG 27UP650-W  es un monitor de 27 pulgadas UHD 4K (3840x2160) con panel IPS, diseñado para ofrecer imágenes detalladas y colores precisos con DCI-P3 95%. Su compatibilidad con VESA DisplayHDR™ 400 mejora el contraste y la profundidad de color, ideal para edición de contenido y entretenimiento.  	  Tamaño del panel:  27&quot; IPS  	  Resolución:  3840 x 2160 (UHD 4K)  	  Frecuencia de actualización:  60Hz  	  Tiempo de respuesta:  5ms (GtG)  	  Saturación de color:  DCI-P3 95%  	  Brillo:  400 cd/m²  	  Relación de contraste:  1000:1  	  Ángulos de visión:  178° horizontal / 178° vertical  	  HDR:  Compatible con VESA DisplayHDR™ 400  	  Antirreflejo:  Sí  	  Tecnología sin parpadeo:  Sí   Conectividad   	 2 x HDMI  	 1 x DisplayPort 1.4  	 1 x Conector para auriculares   Funciones exclusivas   	 AMD FreeSync™ para una experiencia fluida  	 Dynamic Action Sync para reducir el input lag  	 Black Stabilizer para mayor visibilidad en zonas oscuras   Diseño y ergonomía   	 Inclinación: -5° a +20°  	 Altura ajustable  	 Pivote: 90°  	 Montaje VESA: 100x100 mm  	 Dimensiones con soporte: 613 x 563 x 239 mm  	 Peso con soporte: 6.2 kg   Consumo y energía   	 Consumo típico: 36W  	 Modo ahorro de energía: 0,5W  	 Modo apagado: 0,3W  	 Voltaje: 100-240V ~ 50/60Hz   Incluye en la caja   	 Cable de alimentación  	 Cable DisplayPort  	 Guía de inicio rápido  	 Tarjeta de garantía   Garantía: 1 año";https://shigalabs.net/producto/monitor-27-lg-27up650-w-3840x2160-5ms-60hz-ips-hdmi-display-port/?utm_source=Custom%20Feed&utm_campaign=Export&utm_medium=cpc&utm_term=3040
"Monitor MSI MAG 31.5&quot; 32CQ6F QHD 180Hz";"Curvatura envolvente, velocidad extrema y calidad de imagen superior. El  MSI MAG 32CQ6F  es un monitor gaming de **31.5 pulgadas** con resolución **QHD (2560x1440)** y una tasa de refresco de **180Hz**, diseñado para ofrecer una experiencia fluida y envolvente. Su panel **VA curvo 1500R** proporciona una inmersión total, mientras que su compatibilidad con **AMD FreeSync™** elimina el tearing y mejora la estabilidad en juegos de ritmo rápido.  	  Tamaño del panel:  31.5&quot; VA Curvo (1500R)  	  Resolución:  2560 x 1440 (QHD)  	  Frecuencia de actualización:  180Hz  	  Tiempo de respuesta:  0.5ms (GtG, Min.)  	  Saturación de color:  101% sRGB  	  Brillo:  400 cd/m² (HDR)  	  Relación de contraste:  3500:1  	  Ángulos de visión:  178° horizontal / 178° vertical  	  HDR:  Compatible con DisplayHDR 400  	  Antirreflejo:  Sí  	  Tecnología sin parpadeo:  Sí   Conectividad   	 2 x HDMI 2.0b (hasta 144Hz)  	 1 x DisplayPort 1.4 (hasta 180Hz)  	 1 x Conector para auriculares   Funciones exclusivas   	 AMD FreeSync™ para una experiencia fluida  	 Modo Gaming OSD  	 Estabilizador de negros  	 Crosshair (Cruz de puntería)  	 Temporizador   Diseño y ergonomía   	 Inclinación: -5° a +20°  	 Montaje VESA: 100x100 mm  	 Dimensiones con soporte: 709.4 x 507.2 x 249.8 mm  	 Peso con soporte: 8.4 kg   Consumo y energía   	 Consumo típico: 40W  	 Modo ahorro de energía: 0.5W  	 Modo apagado: 0.3W  	 Voltaje: 100-240V ~ 50/60Hz   Incluye en la caja   	 Cable de alimentación  	 Cable DisplayPort  	 Guía de inicio rápido  	 Tarjeta de garantía    Garantía: 1 año";https://shigalabs.net/producto/monitor-msi-mag-31-32cq6f-180hz/?utm_source=Custom%20Feed&utm_campaign=Export&utm_medium=cpc&utm_term=3039
"Monitor Cooler Master 27&quot; GM27-CF 165Hz FHD 1920x1080 Curvo";"Curvatura envolvente, velocidad extrema y colores vibrantes para una experiencia gaming superior. El Cooler Master GM27-CF es un monitor curvo de 27 pulgadas con resolución Full HD (1920x1080) y una tasa de refresco de 165Hz, diseñado para ofrecer una experiencia fluida y envolvente. Su panel VA con curvatura 1500R proporciona una inmersión total, mientras que su compatibilidad con AMD FreeSync™ Premium elimina el tearing y mejora la estabilidad en juegos de ritmo rápido.  	  Tamaño del panel:  27&quot; VA Curvo (1500R)  	  Resolución:  1920 x 1080 (Full HD)  	  Frecuencia de actualización:  165Hz  	  Tiempo de respuesta:  3ms (MPRT)  	  Saturación de color:  90% DCI-P3 / 125% sRGB  	  Brillo:  300 cd/m²  	  Relación de contraste:  3000:1  	  Ángulos de visión:  178° horizontal / 178° vertical  	  HDR:  No compatible  	  Antirreflejo:  Sí  	  Tecnología sin parpadeo:  Sí   Conectividad   	 2 x HDMI 2.0  	 1 x DisplayPort 1.4  	 1 x Conector para auriculares   Funciones exclusivas   	 AMD FreeSync™ Premium  	 Modo Gaming OSD  	 Estabilizador de negros  	 Crosshair (Cruz de puntería)  	 Temporizador   Diseño y ergonomía   	 Inclinación: -5° a +20°  	 Montaje VESA: 100x100 mm  	 Dimensiones con soporte: 609 x 363 x 209 mm  	 Peso con soporte: 5.13 kg   Incluye en la caja   	 Cable de alimentación  	 Cable DisplayPort  	 Guía de inicio rápido  	 Tarjeta de garantía   Garantía: 1 años";https://shigalabs.net/producto/gm27-cf-165-hz-curvo/?utm_source=Custom%20Feed&utm_campaign=Export&utm_medium=cpc&utm_term=3038
"Monitor LG 27&apos;&apos; 27UK580-B UHD 60 Hz";"Resolución 4K, ergonomía avanzada y tecnología de imagen superior. El  LG 27UK580-B  es un monitor de 27 pulgadas con resolución **UHD 4K (3840x2160)**, diseñado para ofrecer imágenes detalladas y colores precisos gracias a su panel **IPS** con cobertura del **98% sRGB**. Su compatibilidad con **HDR10** mejora el contraste y la profundidad de color, mientras que su **brazo ergonómico** permite ajustes de altura, inclinación, giro y pivote para una comodidad óptima.  	  Tamaño del panel:  27&quot; IPS  	  Resolución:  3840 x 2160 (UHD 4K)  	  Frecuencia de actualización:  60Hz  	  Tiempo de respuesta:  5ms (GtG)  	  Saturación de color:  98% sRGB  	  Brillo:  300 cd/m²  	  Relación de contraste:  1000:1  	  Ángulos de visión:  178° horizontal / 178° vertical  	  HDR:  Compatible con HDR10  	  Antirreflejo:  Sí  	  Tecnología sin parpadeo:  Sí   Conectividad   	 2 x HDMI  	 1 x DisplayPort 1.4  	 1 x Conector para auriculares   Funciones exclusivas   	 AMD FreeSync™ para una experiencia fluida  	 SuperResolution+ para mejorar la nitidez  	 Black Stabilizer para mayor visibilidad en zonas oscuras  	 Dynamic Action Sync para reducir el input lag   Diseño y ergonomía   	 Inclinación: -25° a +25°  	 Giro: -335° a +335°  	 Pivote: 90°  	 Ajuste de altura: Sí  	 Montaje VESA: 100x100 mm  	 Dimensiones con soporte: 609 x 457 x 609 mm  	 Peso con soporte: 8,98 kg   Consumo y energía   	 Consumo típico: 36W  	 Modo ahorro de energía: 0,5W  	 Modo apagado: 0,3W  	 Voltaje: 100-240V ~ 50/60Hz   Incluye en la caja   	 Cable de alimentación  	 Cable DisplayPort  	 Guía de inicio rápido  	 Tarjeta de garantía  Garantía: 1 año";https://shigalabs.net/producto/monitor-27-lg-27uk580-b-uhd-3840x2160-60-hz-hdmi-dp-plano-slim-8806091646583-4k-ergo/?utm_source=Custom%20Feed&utm_campaign=Export&utm_medium=cpc&utm_term=3037
"Monitor LG 31.5 &quot; 32UN500-W UHD 4K 60Hz";"Resolución 4K, colores vibrantes y tecnología avanzada para máxima precisión. El LG 32UN500-W es un monitor de 32 pulgadas con resolución UHD 4K (3840x2160), diseñado para ofrecer imágenes detalladas y colores precisos con DCI-P3 90%. Su compatibilidad con HDR10 mejora el contraste y la profundidad de color, ideal para edición de contenido y entretenimiento.  	  Tamaño del panel:  32&quot; VA  	  Resolución:  3840 x 2160 (UHD 4K)  	  Frecuencia de actualización:  60Hz  	  Tiempo de respuesta:  4ms (GtG)  	  Saturación de color:  DCI-P3 90%  	  Brillo:  350 cd/m²  	  Relación de contraste:  3000:1  	  Ángulos de visión:  178° horizontal / 178° vertical  	  HDR:  Compatible con HDR10  	  Antirreflejo:  Sí  	  Tecnología sin parpadeo:  Sí   Conectividad   	 2 x HDMI  	 1 x DisplayPort 1.4  	 1 x Conector para auriculares   Funciones exclusivas   	 AMD FreeSync™ para una experiencia fluida  	 Dynamic Action Sync para reducir el input lag  	 Black Stabilizer para mayor visibilidad en zonas oscuras  	 Altavoces integrados de 5W   Diseño y ergonomía   	 Inclinación: -5° a +15°  	 Montaje VESA: 100x100 mm  	 Dimensiones con soporte: 729 x 495 x 209 mm  	 Peso con soporte: 6.1 kg   Consumo y energía   	 Consumo típico: 40W  	 Modo ahorro de energía: 0,5W  	 Modo apagado: 0,3W  	 Voltaje: 100-240V ~ 50/60Hz   Incluye en la caja   	 Cable de alimentación  	 Cable HDMI  	 Guía de inicio rápido  	 Tarjeta de garantía   Garantía: 1 año";https://shigalabs.net/producto/monitor-lg-32un500-w/?utm_source=Custom%20Feed&utm_campaign=Export&utm_medium=cpc&utm_term=3036
"Monitor MSI MAG 27&quot; 275CQRF-QD 2K 2560x1440 170hz Curvo";"Curvatura envolvente, colores vibrantes y rendimiento extremo para gamers. El MSI MAG 275CQRF-QD es un monitor curvo de 27 pulgadas con resolución WQHD (2560x1440) y una tasa de refresco de 170Hz, diseñado para ofrecer una experiencia fluida y envolvente. Su panel Rapid VA con curvatura 1000R proporciona una inmersión total, mientras que su tecnología Quantum Dot mejora la precisión y saturación del color.  	  Tamaño del panel:  27&quot; Rapid VA Curvo (1000R)  	  Resolución:  2560 x 1440 (WQHD)  	  Frecuencia de actualización:  170Hz  	  Tiempo de respuesta:  1ms (GTG)  	  Saturación de color:  94% Adobe RGB / 96% DCI-P3  	  Brillo:  400 cd/m²  	  Relación de contraste:  3000:1  	  Ángulos de visión:  178° horizontal / 178° vertical  	  HDR:  Compatible con HDR  	  Antirreflejo:  Sí  	  Tecnología sin parpadeo:  Sí   Conectividad   	 2 x HDMI 2.0  	 1 x DisplayPort 1.4  	 1 x Conector para auriculares   Funciones exclusivas   	 Quantum Dot para colores más precisos  	 AMD FreeSync™ Premium  	 Modo Gaming OSD  	 Estabilizador de negros  	 Crosshair (Cruz de puntería)   Diseño y ergonomía   	 Inclinación: -5° a +20°  	 Montaje VESA: 100x100 mm  	 Dimensiones con soporte: 611 x 532 x 251 mm  	 Peso con soporte: 6.5 kg   Incluye en la caja   	 Cable de alimentación  	 Cable DisplayPort  	 Guía de inicio rápido  	 Tarjeta de garantía   Garantía: 3 años";https://shigalabs.net/producto/msi-mag-275cqrf/?utm_source=Custom%20Feed&utm_campaign=Export&utm_medium=cpc&utm_term=3035
